team,wins,losses,season,payroll,inflationAdjPayroll,revenue,superteam,cost_per_win,revenue_per_win
Los Angeles Lakers,56.0,26.0,2003,64123085.0,103431541.0,149000000.0,Yes,1145055.0892857143,2660714.285714286
Los Angeles Lakers,34.0,48.0,2004,65059098.0,101622167.0,156000000.0,Yes,1913502.8823529412,4588235.294117647
Boston Celtics,66.0,16.0,2007,74509455.0,105964761.0,151000000.0,Yes,1128931.1363636365,2287878.787878788
Boston Celtics,62.0,20.0,2008,79188973.0,107234707.0,151000000.0,Yes,1277241.5,2435483.870967742
Boston Celtics,50.0,32.0,2009,83552174.0,114780852.0,151000000.0,Yes,1671043.48,3020000.0
Miami Heat,58.0,24.0,2010,66205855.0,90003080.0,150000000.0,Yes,1141480.2586206896,31000000.0
Boston Celtics,56.0,26.0,2010,82045867.0,111536674.0,151000000.0,Yes,1465104.767857143,2696428.5714285714
Boston Celtics,39.0,27.0,2011,79820530.0,104782428.0,146000000.0,Yes,2046680.2564102565,3743589.743589743
Miami Heat,46.0,20.0,2011,75469639.0,99070904.0,158000000.0,Yes,1640644.3260869563,3434782.6086956523
Miami Heat,66.0,16.0,2012,80427933.0,103851696.0,150000000.0,Yes,1218605.0454545454,2272727.272727273
Los Angeles Lakers,45.0,37.0,2012,100131988.0,129294344.0,197000000.0,Yes,2225155.288888889,4377777.777777778
Boston Celtics,41.0,40.0,2012,75508399.0,97499399.0,143000000.0,Yes,1841668.268292683,3487804.8780487804
Miami Heat,54.0,28.0,2013,80841617.0,102586074.0,188000000.0,Yes,1497066.9814814816,3481481.4814814813
Brooklyn Nets,44.0,38.0,2013,102589967.0,130184212.0,190000000.0,Yes,2331590.159090909,4318181.818181818
Los Angeles Lakers,27.0,55.0,2013,77423614.0,98248706.0,295000000.0,Yes,2867541.2592592593,10925925.925925924
Cleveland Cavaliers,53.0,29.0,2014,82592827.0,102680427.0,149000000.0,Yes,1558355.2264150945,2811320.754716981
Miami Heat,37.0,45.0,2014,75813041.0,94251712.0,188000000.0,Yes,2049001.108108108,5081081.081081081
Brooklyn Nets,38.0,44.0,2014,87817289.0,109175545.0,212000000.0,Yes,2310981.289473684,5578947.368421053
Cleveland Cavaliers,57.0,25.0,2015,108300458.0,134474038.0,191000000.0,Yes,1900008.035087719,3350877.192982456
Golden State Warriors,67.0,15.0,2016,101584835.0,124889848.0,305000000.0,Yes,1516191.5671641792,4552238.805970149
Cleveland Cavaliers,51.0,31.0,2016,128522489.0,158007391.0,233000000.0,Yes,2520048.8039215687,4568627.450980392
Golden State Warriors,58.0,24.0,2017,137610134.0,166460754.0,359000000.0,Yes,2372588.5172413792,6189655.172413793
Oklahoma City Thunder,48.0,34.0,2017,134534640.0,162740467.0,222000000.0,Yes,2802805.0,4625000.0
Cleveland Cavaliers,50.0,32.0,2017,137722926.0,166597194.0,280000000.0,Yes,2754458.52,5600000.0
Golden State Warriors,57.0,25.0,2018,146291276.0,172022240.0,401000000.0,Yes,2566513.6140350876,7035087.719298245
Oklahoma City Thunder,49.0,33.0,2018,144916427.0,170405569.0,241000000.0,Yes,2957478.102040816,4918367.346938776
Golden State Warriors,15.0,50.0,2019,129254928.0,149524506.0,440000000.0,Yes,8616995.2,29333333.333333332
Brooklyn Nets,44.0,38.0,2021,174811922.0,190649447.0,212000000.0,Yes,3972998.227272727,4818181.818181818
Los Angeles Lakers,33.0,49.0,2021,164409293.0,179304361.0,316000000.0,Yes,4982099.787878788,9575757.575757576
Brooklyn Nets,45.0,37.0,2022,159566723.0,169186672.0,367000000.0,Yes,3545927.177777778,8155555.555555556
Los Angeles Lakers,43.0,39.0,2022,169391473.0,179603738.0,516000000.0,Yes,3939336.581395349,12000000.0
Los Angeles Clippers,51.0,31.0,2023,201366679.0,207350074.0,353000000.0,Yes,3948366.254901961,6921568.62745098
Phoenix Suns,49.0,33.0,2023,193838882.0,199598596.0,369000000.0,Yes,3955895.551020408,7530612.244897959
Los Angeles Lakers,47.0,35.0,2023,169876920.0,174924626.0,522000000.0,Yes,3614402.5531914895,11106382.978723405
Los Angeles Clippers,50.0,32.0,2024,174124752.0,174124752.0,351000000.0,Yes,3482495.04,7020000.0
Phoenix Suns,36.0,46.0,2024,220708856.0,220708856.0,377000000.0,Yes,6130801.555555556,10472222.222222222
